entity,relation,entity2
水枝锦,属于,农作物
农作物,包含,蓝藻
桑毛虫,危害,农作物
成年兔,属于,动物
灭蝇净,属于,农作物药物
慢性腹膜炎,属于,动物疾病
二甲戊灵乳油,属于,农作物药物
多菌灵,防治,炭疽病
动物,包含,螺
二丑,属于,畜牧业药物
百菌清烟剂,属于,农作物药物
花蝇科,科,种蝇
败血灵,属于,畜牧业药物
菜花,属于,农作物
晶体敌百虫,防治,蛴螬
中药,包含,掐不齐
莴苣,感染,软腐病
架豆,别名,四季豆
动物,感染,片形吸虫病
农作物,包含,慈菇
鳙,属于,动物
豆科,科,豆角
动物,包含,鳅
丁灵乳油,属于,农作物药物
鸡腿菇,别名,毛头鬼伞
蟹体,属于,动物
淡竹,属于,竹叶
疾病,包含,呕吐
蛴螬,属于,农作物虫害
黑斑病,属于,农作物病害
石灰水清液,属于,农作物药物
茵陈,属于,畜牧业药物
农作物,包含,四季海棠
水稻立枯病,属于,农作物病害
松,属于,树
出血病,属于,动物疾病
聊玉18号,属于,农作物
豆类,属于,农作物
兰花,被危害,粉虱
敌敌畏乳剂,防治,顶梢卷叶虫
害虫,包含,种蝇
群兔,属于,动物
农作物,包含,花萼
链霉素粉,属于,畜牧业药物
微生物,包含,假单孢杆菌
肺火,属于,动物疾病
微生物,包含,双孢菇
飞节内肿,属于,动物疾病
白茅,属于,白茅根
敌敌威乳剂,防治,蚜虫
来福灵乳油,属于,农作物药物
乐斯本,防治,瓜绢螟
矮丰王,防治,小果症
西红柿,感染,菌核病
桑树,感染,桑芽枯病
中药,包含,柑
疾病,包含,甲状腺肿
白砂糖,属于,畜牧业药物
辛硫磷乳油,防治,地下害虫
茉莉花,属于,木樨科
黑曲霉,属于,农作物虫害
乙磷铝,属于,农作物药物
森锌,防治,霜霉病
莴笋,属于,农作物
石灰氮浊液,属于,农作物药物
鸡,感染,新城疫病毒
疾病,包含,呼吸系统疾病
芸豆,属于,农作物
鞘翅目,目,瓢虫
菱角,属于,农作物
好灭丹,防治,桃小食心虫
扁蓄,属于,畜牧业药物
笨鸡,属于,动物
白斑病毒,属于,害虫
患犬,属于,动物
疾病,包含,旋毛虫病
猪,别名,生猪
肠管发炎,属于,动物疾病
扬粳4038,属于,早熟晚粳稻
鸡白痢,属于,动物疾病
单端孢霉菌,属于,害虫
早佳,属于,农作物
宁粳3号,属于,农作物
动物,包含,温血动物
十字花科,科,莱菔子
乳房炎预防,属于,动物疾病
犬五联苗,属于,畜牧业药物
芦笋王,属于,芦笋
广谱性熏蒸杀虫剂,属于,农作物药物
黄瓜,感染,白粉病
羔,属于,动物
肠道感染,属于,动物疾病
抗生素,属于,畜牧业药物
微生物,包含,链球菌
石榴根皮,属于,畜牧业药物
化学药品,包含,甘露醇
连翘,被危害,害虫
高钾肥,属于,农作物药物
野火病,属于,农作物病害
农作物,包含,核桃树
雏鸡,属于,动物
动物,包含,日本海马
大姜,被危害,蝼蛄
中药,包含,茭白
农作物,包含,草豆蔻
稻恶苗病菌,属于,农作物病害
肝炎病,属于,动物疾病
茶树,被危害,小绿叶蝉
农作物,包含,烟草
第二茬瓜,属于,农作物
大地英雄,属于,农作物药物
大青叶蝉,属于,农作物虫害
碘甘油合剂,属于,畜牧业药物
大黄氨水溶液,属于,畜牧业药物
害虫,包含,银纹夜蛾
竹丛,属于,农作物
中熟中粳稻,属于,农作物
农作物,包含,木樨
寄生虫,属于,动物疾病
滑子蘑,属于,农作物
假桄榔,属于,农作物
细菌,包含,害虫
豆科,科,苦参
农作物,包含,香附
真菌,包含,真菌毒素
动物,包含,赤眼鳟
板兰根,被危害,蚜虫
僵鸡,属于,动物
紫苏,属于,畜牧业药物
青菜,属于,大白菜
花卉,包含,鹤望兰
复方大青叶,属于,畜牧业药物
吡虫啉,防治,烟青虫
大白菜,属于,叶菜
动物,包含,茶碱
敌磺钠可溶性粉剂,属于,农作物药物
食道阻塞病,属于,动物疾病
脓肿,防治,鱼石脂
农作物,包含,川芎
花卉,包含,蒲公英
中药,包含,猪苓
辛硫磷,防治,烟青虫
白玉兰,属于,农作物
植病灵,属于,农作物药物
接穗黄瓜,属于,农作物
多苗灵,属于,农作物药物
中药,包含,炙甘草
蛆,属于,害虫
水杉,属于,农作物
沙门杆菌,属于,害虫
害虫,包含,小绿叶蝉
农作物,包含,茶叶
草本,目,茶叶
农作物,包含,葛藤
丹参,感染,丹参根结线虫病
农作物,包含,酸梅
鞘翅目,目,黄条跳甲
稻,包含,镇稻11号
微生物,包含,新城疫病毒
木耳,属于,农作物
扑海因可湿性粉剂,防治,黑腐病
鸡,感染,盲肠肝炎
疾病,包含,过敏反应
松,属于,农作物
维生素制剂,属于,畜牧业药物
松节油,属于,畜牧业药物
动物,包含,蛆
西瓜素,属于,农作物药物
链霉素液,属于,农作物药物
疾病,包含,白芦笋
三苯甲咪唑,属于,疾病
磺胺氯吡嗪钠药,属于,畜牧业药物
害虫,包含,黄曲条跳甲
甲基托布津粉剂,属于,农作物药物
禾本科,科,雀稗
农作物,包含,白皮松
胡麻病菌,属于,农作物病害
菇菌清,防治,胡桃肉状菌
中华猕猴桃,别名,猕猴桃
黑鳃病,属于,动物疾病
动物,包含,小黄鱼
农作物,包含,浮游农作物
农作物,包含,鸭舌草
菱角,被危害,叶蝉
微生物,包含,毫升
病毒,防治,畜牧业药物
农作物,包含,川朴
速灭杀丁,属于,农作物药物
椿树,属于,农作物
银荆,别名,澳洲白色金合欢
害虫,包含,若虫
疾病,包含,脓肿
农作物,包含,金边瑞香
农作物曲霉清水剂,属于,农作物药物
熊猫,感染,犬瘟热
黏虫,属于,农作物虫害
鳝,属于,动物
茯苓,属于,农作物
草菇,属于,蔬菜
疾病,包含,蛔虫
害虫,包含,鲤碘泡虫
吗胍乙酸铜,属于,农作物药物
恐水症,属于,动物疾病
动物,包含,幼犬
冬瓜,感染,绵腐病
农作物,包含,凤尾草
寄生虫病,属于,动物疾病
氧化剂,属于,硝酸银
车前子,属于,畜牧业药物
果类蔬菜,属于,蔬菜
农作物,包含,桂皮
害虫,包含,蛤蜊
猪伪狂犬,属于,动物疾病
鲈鱼,别名,花鲈
微生物,包含,真菌
火鸡滴虫,属于,害虫
辣椒,感染,灰霉病
农作物,包含,花苜蓿
上海青青菜,属于,农作物
板栗干枯病,属于,农作物病害
真菌,包含,银耳
兰花,感染,褐斑病
四季豆,感染,细菌性角斑病
氧化剂,属于,氯酸
农作物,包含,藤蔓农作物
兔,别名,家兔
毛茛科,包含,秋牡丹
牛肺疫,属于,动物疾病
艾,属于,农作物
代森锰锌,防治,疫病
苜蓿,被危害,蚜虫
农作物,包含,茼蒿
褐飞虱,属于,农作物虫害
细菌,包含,金黄色葡萄球菌
鸭传染性浆膜炎,属于,动物疾病
松树,属于,农作物
虎头兰,别名,大花惠兰
殖酸硼钙,属于,农作物药物
家鸡,包含,公鸡
葛藤,别名,葛根
木耳菜,属于,农作物
中药,包含,海韭菜
余蜂,属于,动物
美邦索洛米,属于,农作物药物
石灰,别名,生石灰
复硝酚钠水剂,属于,农作物药物
杀灭菊脂,属于,农作物药物
化学药品,包含,普鲁卡因
疾病,包含,肝病
茶,包含,白茶
中熟中粳稻,属于,水稻
细菌,包含,农作物病害
农作物,包含,树苗
鞘翅目,目,天牛
灰霉病,属于,农作物病害
代森锰锌可湿性粉剂,防治,霜霉病
江鱼,属于,动物
青蚕豆,属于,蚕豆
疾病,包含,胆汁酸
羊鼻蝇蛆病,属于,动物疾病
腐霉利可湿性粉剂,防治,病害
疫病,属于,农作物病害
中药,包含,雉
藤蔓农作物,属于,农作物
柏树,别名,侧柏叶
中药,包含,黑木耳
真菌,包含,菌类
番茄,感染,果锈病
动物,包含,家兔
绵羊,属于,动物
高锰酸钾,属于,农作物药物
香菇,属于,农作物
秋海棠科,科,竹节秋海棠
春雷霉素,属于,农作物药物
水葫芦,属于,农作物
公鹅,属于,动物
氨中毒,属于,动物疾病
烟叶,属于,畜牧业药物
菲醌,防治,丹参根腐病
阿托品,属于,畜牧业药物
母猪,属于,动物
母牛,属于,动物
中药,包含,仙人球
农作物,包含,香菇
硼酸水,属于,动物疾病
百叶干病,属于,动物疾病
种薯,属于,甘薯
害虫,包含,灰飞虱
乌鱼,别名,生鱼
瘤胃臌气病,属于,动物疾病
韭菜,属于,农作物
农作物,包含,西瓜
西瓜,被危害,红蜘蛛
动物,感染,头槽绦虫病
黄芩,属于,畜牧业药物
丰辉,属于,农作物
美人焦,属于,农作物
疾病,包含,犬布鲁氏菌病
秋菠菜,属于,农作物
蜜虫,别名,麦蚜
辛硫磷乳油,防治,软腐病
高锰酸钾溶液,属于,畜牧业药物
烤烟,感染,花叶病
花生青枯病,属于,农作物病害
动物,包含,鳙
加州873,属于,芦笋
桃小食心虫,属于,农作物虫害
枣果,被危害,美国白蛾
农作物,包含,牛蒡
白鲢,别名,鲢
熏烟剂,属于,农作物药物
茶,别名,茶叶
茯神,属于,畜牧业药物
农作物,包含,茶树
桑宁,属于,农作物药物
疾病,包含,病毒性肺炎
害虫,包含,鳗鲡
动物,包含,珠颈斑鸠
哺乳仔猪,属于,动物
草莓,被危害,斜纹夜蛾
武运粳23号,属于,农作物
禾本科,科,茅草根
传染病,包含,动物疾病
兔,属于,动物
香芹,别名,西芹
微生物,包含,巴氏杆菌
农作物,包含,狗牙根
水蛭,属于,动物
黑籽南瓜,属于,农作物
真菌,病原,纹枯病
疾病,包含,糖皮质激素
动物,包含,海参
成蟹,属于,动物
除草通,属于,农作物药物
夏早生三号,属于,农作物
农作物,包含,葫芦科
产奶牛,属于,动物
鸡腿菇,属于,农作物
香附,属于,畜牧业药物
疾病,包含,寄生虫
柿树,属于,树
疾病,包含,尿血
青豆,别名,青豌豆
食盐,别名,氯化钠
草木灰,属于,农作物药物
烟,属于,农作物
鸡异刺线虫病,属于,动物疾病
獭兔子,属于,动物
中药,包含,大黄炭
紫荆,属于,农作物
菊花,属于,畜牧业药物
冬青,属于,小灌木类
大豆霜霉病,属于,农作物病害
大蒜,感染,真菌性叶枯病
林可霉素,属于,畜牧业药物
黑绒金龟子,属于,农作物虫害
乙霉威,属于,农作物药物
海生素,属于,农作物药物
杨树,属于,农作物
天正春玉,属于,农作物
害虫,包含,华支睾吸虫
西药,包含,硫酸阿托品注射液
秋红苕,别名,红苕
中草药,包含,花卉
商品鸡,属于,动物
西瓜,属于,瓜类作物
蚕豆,防治,菜果壮蒂灵
鳅,属于,动物
菠菜,属于,叶菜
好灭丹,防治,绿盲蝽
花木,属于,农作物
真菌,包含,金针菇
脾俞,属于,畜牧业药物
锅底灰,属于,畜牧业药物
连翘,属于,畜牧业药物
扑虱灵可湿性粉剂,防治,黑刺粉虱
冠状病毒,属于,害虫
花卉,包含,金心吊兰
桧柏,属于,农作物
农作物,包含,武运粳23号
小松菇,属于,农作物
柑橘,属于,果园
酒椰子,属于,农作物
农作物,包含,红薯
西红柿,感染,青枯病
黑枯病,属于,农作物病害
四季海棠,属于,农作物
杂色鳝苗,属于,动物
蔷薇科,科,红富士
空心菜,属于,农作物
小苏打,属于,畜牧业药物
梨,属于,农作物
晶体敌百虫,防治,种蝇
农作物,包含,姜
化学药品,包含,菊酯
桑树,属于,桑
硫丹,防治,美国白蛾
农作物,包含,苦荬菜
稻谷,属于,农作物
甘草,属于,畜牧业药物
青茶叶,属于,畜牧业药物
农作物,包含,黑松
双孢菇,属于,农作物
桔梗科,科,桔
茶青,属于,农作物
动物,包含,鳙鱼
番茄花脸,属于,农作物病害
豇豆,属于,农作物
绿爽,防治,蝼蛄
鳊,属于,动物
东方美人茶,属于,农作物
芦笋,被危害,蓟马
土隆,属于,农作物药物
疾病,包含,滑膜炎
藕,属于,农作物
细菌性肠炎,防治,痢菌净
厚脸皮,属于,农作物
甲硝唑,属于,畜牧业药物
大黄鱼,属于,动物
代森锰锌可湿性粉剂,防治,菜青虫
除虫精粉,属于,农作物药物
微生物,包含,杏鲍菇
中药,包含,佛手柑
氧化乐果,防治,飞虱
棉籽,属于,棉花
栀子,属于,花木
沙门氏菌,属于,害虫
农作物,包含,放线菌
蛛形纲,纲,螨
夏丝一号,属于,农作物
玉米,被危害,蚜虫
疾病,包含,头槽绦虫病
农作物药物,防治,农作物病害
豆角,属于,蔬菜
中药,包含,花生油
西红柿,防治,菜果壮蒂灵
燕子掌,别名,景天树
盐酸土霉素,属于,畜牧业药物
含笑,属于,农作物
动物,包含,彭泽鲫
害虫,包含,梨小食心虫
豆瓣菜,被危害,蚜虫
甜椒,感染,疫病
高效氯氟氰菊酯,防治,种蝇
五氯硝基苯,防治,立枯病
中药,包含,鲮鱼
红斑,属于,动物疾病
洞庭1号,属于,农作物
农作物,包含,漂浮农作物
地豆,别名,花生
夜蛾科,科,棉铃虫
病毒,包含,冠状病毒
腐植酸,属于,农作物
鳃腺炎病,属于,动物疾病
盗蜂,属于,动物
葡萄,感染,白腐病
农作物,包含,泽泻科
富士1号乳油,属于,农作物药物
异菌脲可湿性粉剂,防治,病害
农作物,包含,姜科
关节炎,属于,动物疾病
动物,包含,白鲳
敌克松,属于,农作物药物
野生动物,包含,壁虎
大麦粒,属于,农作物
动物,包含,黑翅土白蚁
次氯酸钠,属于,畜牧业药物
疾病,包含,恶病质
芦笋,感染,根腐病
红掌,属于,年宵花
农作物,包含,黄山松
菜果壮蒂灵,属于,农作物
三唑酮乳油,属于,农作物药物
小麦,感染,麦叶蜂
黒斑病,属于,农作物病害
白毛,属于,农作物病害
动物,包含,寄生蜂
烂铃,属于,农作物病害
疾病,包含,大便不通
秋红苕,属于,农作物
己唑醇,属于,农作物药物
彩叶马醉木,属于,树种
丰产灵,属于,农作物药物
农作物,包含,马铃薯
石榴,属于,石榴皮
线虫病,属于,农作物病害
李子,属于,树
农作物,包含,禾本科杂草
肉用仔鸡,属于,动物
果树,被危害,平小卷叶虫
利凡诺,属于,畜牧业药物
柿树,属于,农作物
农作物,包含,苦草
母野猪,属于,动物
茶,包含,蜜香红茶
栀子,被危害,害虫
青木香,属于,畜牧业药物
禾本科,科,桐树
松脂酸铜,属于,农作物药物
细菌,包含,布鲁氏菌
玉米,感染,白花叶病
芫荽,属于,农作物
土传病害,属于,农作物病害
混百菌清,属于,农作物药物
福美双,属于,农作物药物
氯化钾,属于,畜牧业药物
猪伪狂犬病,属于,动物疾病
叶枕瘟,属于,农作物病害
乌洛托品,属于,畜牧业药物
鼠兔,属于,动物
病毒,属于,毒株
黄鲇鱼,属于,动物
细菌,包含,黄曲霉菌
枕头瓜,属于,南瓜苗
牵牛花,属于,农作物
番茄筋腐病,属于,农作物病害
克螨灵 吡虫啉,防治,白粉虱
动物,包含,食肉动物
细菌性肠炎,属于,动物疾病
迟熟中粳稻,属于,农作物
上呼吸道感染,属于,动物疾病
中药,包含,茯神
鸟眼斑,属于,农作物病害
黄豆,防治,青菜虫
青鱼,属于,动物
蒲公英,属于,农作物
竹,属于,农作物
鱼类,包含,鳕鱼
杀毒矾,属于,农作物药物
夏白菜,属于,农作物
农作物,包含,海棠花
恶霉灵,防治,茼蒿立枯病
景丰宝,属于,西瓜
万寿菊,属于,中药
烟草,感染,青枯病
武运粳24号,属于,迟熟中粳稻
饲料性毛细血管变性症,属于,动物疾病
大头菜,属于,农作物
病毒性出血病,属于,动物疾病
烂茄子,属于,农作物病害
疫苗反应,属于,动物疾病
农作物,感染,腐烂病
强尔心,属于,畜牧业药物
簕杜鹃,属于,农作物
白茅根,属于,畜牧业药物
杜鹃花,属于,农作物
万灵可溶性粉剂,属于,农作物药物
薏苡,别名,六谷子
林克霉素,属于,畜牧业药物
茶麸,属于,畜牧业药物
水产动物,属于,动物
农作物,包含,萝卜属
广香,属于,畜牧业药物
安克锰锌,属于,农作物药物
害虫,包含,麦叶蜂
杀白蚁药,属于,农作物药物
辛硫磷乳油,防治,小菜蛾
动物,包含,红鳍东方鲀
消炎药,属于,害虫
稻谷,属于,水稻
微生物,包含,细菌病毒
病毒,包含,痘病毒科
疾病,包含,沙门氏菌病
谷子,感染,纹枯病
中药,包含,瓜皮
生菜,属于,农作物
双孢子球虫,属于,害虫
应天2号多功能动物制剂,属于,农作物药物
大地英雄,防治,蝼蛄
花生,感染,锈病
板栗,属于,果树
紫云英,属于,农作物
水肿,不良反应,金霉素
莱青虫,属于,农作物虫害
彩椒,属于,农作物
疫苗佐剂,属于,畜牧业药物
养花鲢夏花,属于,动物
农作物,包含,雷丸
疾病,包含,猪传染性胃肠炎
农作物,包含,茄科
南粳44,属于,农作物
冬瓜,属于,瓜果类蔬菜
害虫,属于,蜱虫
环形毛细线虫病,属于,动物疾病
农作物,包含,马齿苋科
农作物,包含,高等农作物
苦楝树根皮,属于,畜牧业药物
肉用子鸽,属于,动物
小麦,被危害,穗蚜
竹叶,属于,农作物
硫酸锌,防治,白花叶病
青花菜,被危害,菜青虫
辣椒幼苗,属于,辣椒
微生物,包含,藻类
鲫鱼,属于,动物
鱼种,属于,动物
辣椒,感染,疫病
大黄苏打片,属于,畜牧业药物
苯来特,属于,农作物药物
硫磺粉,属于,农作物药物
青虾,属于,动物
中药,包含,莴苣
雪玫,属于,农作物
广玉兰,属于,农作物
农作物,包含,香玲
农作物,包含,枫杨
壮年兔,属于,动物
新霉素,属于,畜牧业药物
绿荆,属于,金合欢
叶茎部病害,属于,农作物病害
害虫,包含,黏虫
害虫,包含,吸血昆虫
棚菜,别名,大棚蔬菜
干酵母片,属于,畜牧业药物
葡萄皮尔斯,属于,农作物病害
土菌消 水剂,防治,茼蒿立枯病
大肠,属于,直肠
仔鹿,属于,动物
50 扑海因可湿性粉剂,防治,大蒜白腐病
甲氨基阿维菌素苯甲酸盐,防治,甜菜夜蛾
农作物,包含,鹤虱
盲蝽象,属于,农作物虫害
白兰花,属于,农作物
侧殖吸虫病,属于,动物疾病
生理盐水,属于,畜牧业药物
农作物,包含,早竹
硫酸锌,属于,农作物药物
成蝇,属于,害虫
害虫,包含,褐飞虱
旋花科,科,空心菜
代森铵溶液,属于,农作物药物
香葱,被危害,潜叶蝇
李子,属于,农作物
克螨敌,防治,螨类
犬科动物,属于,动物
疾病,包含,华支睾吸虫
厚朴,属于,畜牧业药物
害虫敌,属于,畜牧业药物
石榴,属于,花卉
豆饼毒饵,属于,农作物药物
氯化钙液,属于,农作物药物
辣椒,感染,根腐病
吊瓜,感染,白粉病
中国水仙,别名,水仙花
乔木,包含,合欢树
鸽子,属于,动物
安痢,属于,畜牧业药物
甲醛,包含,醛
葡萄,感染,干旱
微生物,包含,氯霉素
苦瓜苗,属于,农作物
助壮素,属于,农作物药物
菜青虫,属于,农作物虫害
三角梅,属于,中药
胡萝卜,感染,黑腐病
疾病,包含,布鲁氏菌
白菜,属于,农作物
半支莲,属于,农作物
青芦笋,属于,农作物
新高脂膜,防治,蚜虫
霉素,属于,畜牧业药物
甲基硫菌灵可湿性粉剂,防治,大蒜白腐病
疾病,包含,棉酚
大葱,感染,紫斑病
黄桃,属于,农作物
叶枯病,别名,茶云纹叶枯病
动物膜,属于,农作物药物
香荽,属于,农作物
日本马醉木,属于,农作物
农作物,包含,鹤望兰
汉白玉,属于,农作物
草爬子,属于,害虫
敌百虫,防治,蒜蛆
福鱼康,属于,畜牧业药物
农作物,包含,聚合草
稻温病,属于,农作物病害
辣椒苗,属于,辣椒
死鸡,属于,动物
牛腿瓜,属于,南瓜苗
商陆,属于,畜牧业药物
泥鳅,属于,动物
猪气喘病,属于,动物疾病
农作物,包含,水杉
中药,包含,白胡椒
大葱,属于,蔬菜
敌克松,防治,猝倒病
腐霉利,别名,速克灵
中生菌素,属于,农作物药物
微生物,包含,肝癌
农作物,包含,香茅
毒死蜱,属于,农作物药物
体温稍高,属于,动物疾病
大片形吸虫,属于,害虫
指环虫科,属于,害虫
菊科,科,莴笋
毛细线虫病,属于,动物疾病
维生素C,属于,畜牧业药物
葡萄,感染,白粉病
杜鹃花科,科,彩叶马醉木
动物,包含,肉兔
马兜铃,属于,青木香
油茶芽,属于,农作物
农作物,感染,稻瘟病
白芷,属于,畜牧业药物
泰乐菌素效价,属于,畜牧业药物
大蒜,属于,畜牧业药物
中药,包含,灶心土
普通丝瓜,属于,农作物
大红袍,属于,农作物
功夫乳油,属于,农作物药物
姜种,属于,大姜
王铜,属于,农作物药物
农作物,包含,脐橙
明太鱼,属于,动物
杜邦万克灵,防治,四绒金龟甲
农作物,包含,白扁豆
真菌,包含,孔雀石绿
磷酸二氢钾,属于,农作物药物
病毒,包含,轮状病毒
农作物,包含,羊茅
叶锈病,属于,农作物病害
辣椒幼苗,属于,农作物
吡虫啉可湿性粉剂,防治,蛴螬
立枯病,属于,农作物病害
香葱,被危害,葱蚜
羊群,属于,动物
盲肠肝炎,属于,动物疾病
香油,属于,畜牧业药物
丙硫咪唑,属于,畜牧业药物
螨净乳油,属于,农作物药物
兰花,属于,农作物
硫酸铜溶液,属于,农作物药物
疾病,包含,兔瘟
斜纹夜盗蛾,属于,农作物虫害
抗生素,属于,农作物药物
疾病,包含,疟原虫
地塞米松磷酸钠,属于,畜牧业药物
油菜,属于,青杂2号
紫甘蓝,属于,农作物
肠道性疾病,属于,动物疾病
水花生,属于,农作物
菌虫枪手,属于,畜牧业药物
油乳剂灭活苗,属于,畜牧业药物
三唑磷乳油,属于,农作物药物
农作物,包含,李子
蛛形纲,纲,疥螨
甲敌粉,属于,农作物药物
羊羔,属于,动物
农作物,包含,杏仁
疾病,包含,红眼病
农作物,包含,小青菜
白羽肉鸡,属于,动物
疾病,包含,恶性水肿
疾病,包含,保育猪
天龙宝,属于,农作物药物
稻瘟病,属于,农作物病害
生鱼,属于,动物
龙芽草,科,蔷薇科
脆肉鲩,属于,动物
菇蕾,属于,农作物
双青丝瓜,属于,有棱丝瓜
菜苜蓿,属于,农作物
动物,包含,舌鳎
硫酸链霉素可溶性粉剂,防治,软腐病
蔓割病,属于,农作物病害
家畜,属于,动物
鸽,属于,动物
草莓,被危害,白粉虱
薯类,属于,薯
蓝圆热毒清,属于,畜牧业药物
疾病,包含,耳螨
茄科,科,甜椒
万家,属于,农作物药物
黄曲条跳甲,属于,农作物虫害
萝卜,别名,青萝卜
黄曲霉,属于,农作物虫害
蒜苗,属于,农作物
次碳酸铋,属于,畜牧业药物
黄瓜,被危害,小菜蛾
金态,属于,畜牧业药物
白叶枯病,属于,农作物病害
绿肥萝卜,属于,萝卜芽
菇盖,属于,农作物
鳊鱼,属于,动物
西葫芦,属于,茄果类蔬菜
老鼠,属于,小白鼠
栀子,属于,畜牧业药物
农作物,包含,野蛞蝓
农作物,包含,豆类
毒鼠药,属于,畜牧业药物
骨灰,属于,畜牧业药物
竹类,属于,农作物
鹿病,属于,动物疾病
井冈霉素,属于,农作物药物
矮生芸豆,属于,农作物
冬春小白菜,属于,小白菜
疣霉净,属于,农作物药物
疾病,包含,维生素A
农作物,包含,葱叶
新城疫病毒,属于,害虫
敌草隆,属于,除锈剂
多菌灵,防治,赤霉病
疾病,包含,结节病
甜椒,感染,软腐病
青花菜,被危害,甜菜夜蛾
四季豆,被危害,豆荚螟
农作物,包含,巢蕨
中药,包含,水仙
硝酸钙液,属于,农作物药物
敌杀死,防治,草地螟
克蚜星浮油,属于,农作物药物
动物,包含,藏猪
百草枯,属于,农作物药物
元丰,属于,农作物
丰登,属于,农作物药物
苹果,被危害,红蜘蛛
菌毒杀,属于,畜牧业药物
畜,属于,动物
辣椒苗,属于,农作物
樟脑磺酸钠,属于,畜牧业药物
郁金香,属于,农作物
花卉,包含,郁金香
中华绒螯蟹,别名,河蟹
蔬菜,包含,绿叶菜
中国水仙,属于,花卉
花朵,属于,农作物
吡虫啉,防治,白粉虱
菊酯,属于,农作物药物
水稻,包含,宁粳3号
甲基托布津,防治,紫斑病
正大脆芹,属于,农作物
细菌,包含,荧光假单胞杆菌
徒长菌丝,属于,菌丝
中药,包含,黄芪
牛口舌生疮,属于,动物疾病
中药,包含,桑皮
煤气中毒,属于,动物疾病
安泰生,属于,农作物药物
彩叶马醉木,属于,日本马醉木
上海青青菜,属于,青菜
球虫疫苗,属于,害虫
乳鸽,别名,肉鸽
禽,属于,动物
三环唑,属于,农作物药物
链球菌病,属于,动物疾病
中药,包含,藏药
花卉,包含,水晶兰
龙虾,属于,动物
短阴后园线虫,属于,害虫
接触性传染病,属于,动物疾病
萝卜,属于,青萝卜
减蛋综合征,属于,动物疾病
禾本科,科,白茅根
农作物,包含,佛手瓜
水霉病,别名,肤霉病
口蹄疫,属于,动物疾病
中草药,包含,莱菔子
犬钩端螺旋体病,属于,动物疾病
微生物,包含,姬松茸
土隆,防治,蝼蛄
桑树,属于,农作物
鱼腥草注射液,属于,畜牧业药物
动物,包含,大蟾蜍
疾病,包含,冠状病毒
农作物,包含,竹叶
鸭群,属于,动物
小青菜,属于,青菜
茉莉属,属于,农作物
中华绒螯蟹,别名,螃蟹
盐酸克伦特罗,属于,畜牧业药物
