entity,relation,entity2
黑尾叶蝉,属于,农作物虫害
真菌,包含,姬松茸
池鱼,属于,动物
农作物,包含,板栗树
架子牛,属于,动物
中药,包含,牛蒡
微生物,包含,布鲁氏菌
大蒜,感染,腐烂
糯玉米,属于,农作物
蕉,属于,农作物
犊牛,属于,动物
酸中毒,属于,动物疾病
桔梗,属于,畜牧业药物
玉米青贮,属于,农作物
水枝柳,别名,千屈菜
病毒A,防治,病毒病
中药,包含,狗牙根
动物,包含,海湾扇贝
油,属于,农作物
可湿性粉剂,防治,软腐病
小寒王,属于,农作物
啄癖,属于,动物疾病
西药,包含,地塞米松
芽孢杆菌,属于,畜牧业药物
成年猪,属于,动物
桑,被危害,桑毛虫
病毒,导致,茼蒿立枯病
农作物,包含,白兰瓜
羊病,属于,动物疾病
有害疣孢霉病,属于,农作物病害
茄果类蔬菜,属于,蔬菜
农作物,包含,仙人球
纯白色君子兰,属于,农作物
维生素AD3粉,属于,畜牧业药物
大豆,包含,引豆9701
农作物,包含,月桂
农作物,包含,莲子草
噻菌铜溶液,属于,农作物药物
害虫,包含,玉米蚜
稻,属于,农作物
水柳,别名,千屈菜
真菌,包含,滑子蘑
土菌消,属于,农作物药物
抗氧化剂,防治,维生素E
疾病,包含,子猪
叶菜,属于,蔬菜
动物,包含,银鲑
农药中毒,属于,动物疾病
雉鸡,属于,动物
法桐大树,别名,法桐
短翅型成虫,属于,农作物虫害
鱼肝油,属于,畜牧业药物
菌毒通杀,属于,农作物药物
盐酸毛果芸香硷,属于,畜牧业药物
农作物,包含,荸荠
山羊,属于,动物
雏禽脑软化症,属于,动物疾病
疾病,包含,白肌病
农作物油,属于,畜牧业药物
龙虱,属于,害虫
疥癣,属于,动物疾病
西红柿,属于,农作物
鸟,纲,雁
害虫,包含,飞虱
山茶花,属于,农作物
昆虫,包含,囊蚴
动物,包含,鸭
莠锈灵乳油,属于,农作物药物
潜叶蝇,属于,农作物虫害
苏云金杆菌,防治,菜青虫
链霉素,防治,白叶枯病
青皮丝瓜,属于,农作物
水栗,别名,荸荠
瓜秧,属于,农作物
动物,包含,蛛形纲
细菌,包含,消炎药
农作物,包含,大青叶
农作物,包含,豌豆
百部,属于,畜牧业药物
细菌性角斑病,属于,农作物病害
害虫,包含,豇豆荚螟
肉雏鸡,属于,动物
中药,包含,海蜇皮
农作物,包含,盐肤木
草,别名,草本
病毒,导致,新城疫病毒
壮根钾宝,防治,裂果症
赤星病,别名,梨锈病
咯菌腈悬浮种衣剂,属于,农作物药物
农用链霉素,防治,软腐病
苍术,属于,畜牧业药物
肠道厌氧梭菌,属于,害虫
敌敌畏乳剂,防治,黄斑卷叶虫
饲,属于,动物
早竹,属于,农作物
疾病,包含,炎症
草菇V238,属于,农作物
冬小麦,属于,农作物
百菌清可湿性粉剂,防治,苹果斑点落叶病
大枣,属于,畜牧业药物
农作物,包含,竹柏
成虾,属于,动物
速灭杀丁,防治,豆荚螟
害虫,包含,韭蛆
农作物,包含,茜草
糯玉米,属于,甜糯玉米
菜螟,属于,农作物虫害
菜,属于,农作物
细菌,包含,疥癣
等量式波尔多液,属于,农作物药物
可杀得可湿性粉剂,防治,半边疯
动物,包含,南美白对虾
扑海因,防治,灰霉病
白杨,别名,白柳
微生物,包含,鸡腿菇
碧护,防治,叶片黄化
矮生秋菜,属于,农作物
败血症,属于,动物疾病
琴萌1号,属于,农作物
宝莲灯,属于,年宵花
疾病,包含,肥胖症
肉鸽,属于,动物
农作物,包含,甜玉米
果菜,属于,农作物
丹参根腐病,属于,农作物病害
鳊鱼,别名,草鳊
饵料鱼,属于,动物
急性传染病,属于,动物疾病
农作物,包含,火麻仁
郁金,属于,畜牧业药物
硼砂溶液,属于,农作物药物
花卉,包含,菖蒲
鱼类,属于,动物
催红剂,属于,农作物药物
吡虫啉乳油,属于,农作物药物
农作物,包含,巴西蘑菇
江蔬1号丝瓜,属于,农作物
肠炎,属于,动物疾病
彩叶马醉木,属于,农作物
夏小白菜,属于,农作物
鱼虫克星,属于,畜牧业药物
多年生草本花卉,属于,农作物
哺乳子猪,属于,动物
农作物,包含,地蚕
农作物,包含,何首乌
芸豆,别名,四季豆
公畜,属于,动物
甘蔗,属于,农作物
黄瓜,属于,蔬菜
果锈病,属于,农作物病害
磺胺噻唑纳溶液,属于,畜牧业药物
犬腺病毒I型,属于,害虫
寄生虫,属于,害虫
黑密2号,属于,农作物
农作物,包含,山葡萄
真菌,导致,农作物病害
猪肠炎,属于,动物疾病
白芦笋,属于,芦笋
农用硫酸链霉素可溶性粉剂,属于,农作物药物
鲜全草,属于,畜牧业药物
华支睾吸虫,属于,害虫
禾本科,科,稻谷
棉苗,属于,棉花
雪峰花皮,属于,农作物
疾病,包含,衣原体
番茄苗,属于,农作物
动物,包含,彭泽鲫鱼
李树,属于,农作物
中药,包含,西瓜皮
枣果,被危害,大造桥虫
尼索朗乳油,属于,农作物药物
鳜鱼,属于,动物
漂白粉,属于,农作物药物
蔬菜,包含,重茬
杜鹃花科,属于,农作物
农作物,包含,花生油
杀螨药,属于,畜牧业药物
保桑灵,属于,农作物药物
细菌,包含,光合细菌
红叶桃,属于,农作物
杀菌剂,包含,土菌消
蔷薇科,科,梨果
疾病,包含,白痢
鳖,属于,动物
引豆9701,属于,农作物
西瓜,被危害,蚜虫
铜铵,属于,农作物药物
矮生豇豆,属于,农作物
梨,感染,梨锈病
农作物,包含,补骨脂
菠菜,属于,农作物
水蛙,属于,动物
高山苦瓜,属于,农作物
白扁豆,属于,畜牧业药物
树桩盆景,别名,树桩
农作物,包含,合欢树
农利灵,防治,灰霉病
肉猪,属于,动物
桑芽枯病,属于,农作物病害
乐果乳油,属于,农作物药物
农作物,包含,红小豆
洋葱,属于,农作物
好年冬乳油,属于,农作物药物
荆芥,属于,畜牧业药物
秋薯,属于,农作物
西药,包含,盐酸土霉素
艾叶,属于,畜牧业药物
带毒犬,属于,动物
豆荚螟,属于,农作物虫害
中药,包含,蟹
鹌鹑,属于,动物
茄子苗,属于,蔬菜
丙森锌,属于,农作物药物
农作物,包含,青杂2号
盐酸肾上腺素注射液,属于,畜牧业药物
沙门氏菌病,属于,动物疾病
农作物,包含,硕丰
黄牛,属于,动物
金合欢苗,属于,农作物
真菌,包含,霉菌
鱼,科,塘鱼
真菌,导致,褐腐病
盐酸左旋咪唑,属于,畜牧业药物
茄子,感染,青枯病
十字花科,科,油菜籽
大红袍瓜,属于,南瓜苗
秋薯,被危害,早霜
多粘类芽孢杆菌,属于,农作物药物
农作物,包含,棉铃
风寒,属于,动物疾病
昆虫,属于,动物
扑虱灵可湿性粉剂,防治,蚧壳虫
姜,属于,农作物
农作物,属于,食用菌
蛾,属于,农作物虫害
板兰根,被危害,菜青虫
中药,包含,苏梗
犬传染性肝炎,属于,动物疾病
霉菌毒素吸附剂,属于,畜牧业药物
普水剂,属于,农作物药物
茵陈蒿,属于,畜牧业药物
大葱,被危害,棉铃虫
菜瓜,别名,西葫芦
菊科,科,茼蒿
棉花幼苗,属于,农作物
多菌灵可湿性粉剂,防治,叶枯病
肝片形吸虫,属于,害虫
六氯对二甲苯,属于,畜牧业药物
木耳,属于,食用菌
西药,包含,吡喹酮
疫苗悬液,属于,畜牧业药物
硫丹,防治,大造桥虫
孕畜,属于,动物
薏苡,被危害,黏虫
农作物,包含,枇杷
敌敌畏,防治,卷叶蛾
疾病,包含,牛肺疫
疾病,包含,鸡白痢
日灼病,属于,农作物病害
灭多威,防治,美国白蛾
农作物,包含,荨麻
90 晶体敌百虫,防治,蚜虫
杀病毒药剂,防治,花脸病
仙鹤草,属于,畜牧业药物
胫骨短粗症,属于,动物疾病
疾病,包含,促性腺激素
丙磺舒,属于,化学药品
中药,包含,枫杨
农作物,包含,雀舌草
鲁芦笋1号,属于,农作物
中华鼢鼠,属于,动物
农作物,包含,石榴皮
动物,包含,麝鼠
中药,包含,雀麦
台湾马醉木,属于,农作物
农作物,包含,糯稻
晚霜,属于,农作物病害
肉用犊牛,属于,动物
农作物,包含,凤仙花科
灭幼脲三号悬浮剂,属于,农作物药物
盐酸异丙嗪,属于,畜牧业药物
过氧乙酸,别名,消毒剂
青年兔,属于,动物
云纹斑病,属于,农作物病害
兔群,属于,动物
存塘蟹,属于,动物
丹参根结线虫病,属于,农作物病害
黄苓,属于,畜牧业药物
菜螟,危害,农作物
碱式硫酸铜悬浮剂,属于,农作物药物
铜制剂,属于,农作物药物
姜科,科,良姜
疾病,包含,鸡输卵管炎
螟虫,属于,农作物虫害
青年鸭,属于,动物
苍耳子,属于,畜牧业药物
托布津,防治,落叶病
鸭败血症,属于,动物疾病
景蜜宝,属于,西瓜
食欲减退,属于,动物疾病
苹果,感染,腐心病
姜粉,属于,畜牧业药物
茼蒿立枯病,属于,农作物病害
农作物,包含,牛膝
菱角,被危害,蚜虫
意杨苗,感染,叶锈病
鞣酸溶液,属于,畜牧业药物
甲维盐,防治,硫丹
动物,包含,鸭茅
吸浆虫,属于,农作物虫害
乐果乳剂,属于,农作物药物
贝壳粉,属于,畜牧业药物
枸杞子,属于,农作物
乐斯本,属于,农作物药物
动物,包含,沟鲶
荔枝,属于,农作物
黄瓜,被危害,粉虱
农作物,包含,莴苣
微生物,包含,致病微生物
大青萝卜,属于,萝卜芽
金花平喘散,属于,畜牧业药物
猪肺绦虫病,属于,动物疾病
辛硫磷乳油,防治,飞虱
毒株,属于,害虫
金霉素,属于,畜牧业药物
疯狗病,属于,动物疾病
抖抖病,属于,动物疾病
烂茄子,别名,茄子绵疫病
痢特灵,属于,畜牧业药物
疾病,包含,盲肠肝炎
豆科,科,掐不齐
锐劲特胶悬剂,属于,农作物药物
疾病,包含,胃蛋白酶
农作物,包含,刚竹
茶橙瘿螨,属于,农作物虫害
农作物,包含,吊兰
疾病,包含,耳血肿
银纹夜蛾,属于,农作物虫害
动物,包含,鲢鱼
疾病,包含,出血病
苯菌灵,属于,农作物药物
强力增产素,防治,早衰
长茄,属于,农作物
苜蓿,被危害,小地虎
农作物,包含,黑核桃
菊科牧草,属于,牧草
微生物,包含,荧光假单胞杆菌
百草一号,属于,农作物药物
农作物,包含,花菇
泰达新,属于,畜牧业药物
布鲁氏菌,属于,害虫
新高脂膜粉剂,属于,农作物药物
免疫学,属于,白细胞介素
新植霉素,属于,农作物药物
烤烟,被危害,烟蚜
农作物,包含,茯苓皮
菊酯类杀虫剂,属于,农作物药物
动物,包含,蛇毒
动物,包含,黑尾叶蝉
峨眉豆,属于,农作物
十字花科,科,萝卜属
铝胶灭活苗,属于,畜牧业药物
中药,包含,冰硼散
香菇,属于,食用菌
多菇丰,属于,农作物药物
晶体敌百虫,防治,潜叶蝇
玉米,属于,莱农14号
海棠,感染,苹果褐斑病
初乳加青,属于,害虫
桑树叶,属于,农作物
辣椒,感染,蚜虫
小白菜,被危害,菜青虫
氨基酸液肥,防治,细菌性病害
烟嘧磺隆,属于,农作物药物
鸭病毒性肝炎苗,属于,畜牧业药物
甜岩,属于,农作物
禾本科,科,牛筋草
农作物,包含,马拉巴栗
鸭疫巴氏杆菌病,属于,动物疾病
动物,包含,乌鸦
动物,感染,病毒病
害虫,包含,草鳊
甲维盐,属于,农作物药物
腐熟基肥,属于,畜牧业药物
辛硫磷,属于,畜牧业药物
动物,包含,缺氧症
茄子绵疫病,属于,农作物病害
农作物,包含,浚单20
菱角,别名,菱实
岩手青,属于,农作物
海带,属于,农作物
农作物,包含,狼尾草
大樱桃,属于,农作物
菊科,科,苦荬菜
百菌清,防治,炭疽病
高效氯氟氰菊酯,防治,潜叶蝇
龙芽草,属于,农作物
优碘,属于,畜牧业药物
狐,属于,动物
农作物,包含,花卉
农作物,包含,油葵
真菌,病原,根腐病
瓜类,被危害,甘蓝夜蛾
秦艽,属于,畜牧业药物
杀螟松,防治,豇豆荚螟
农作物,包含,橄榄
福尔马林液,属于,农作物药物
越冬蜂,属于,动物
农作物,包含,莲子
碧桃,属于,农作物
若虫,属于,农作物虫害
第一茬瓜,属于,农作物
板蓝根注射液,属于,畜牧业药物
卵虫净乳油,属于,农作物药物
小麦,被危害,棉铃虫
夏丝一号,属于,丝瓜
农用链霉素可湿性粉剂,防治,霜霉病
麝香石竹,属于,多年生草本花卉
喷施磷酸二氢钾,属于,农作物药物
百虫净,防治,菜青虫
鸭大肠杆菌病,属于,动物疾病
扑海因,属于,农作物药物
中药,包含,大黄苏打片
黄豆,属于,农作物
蚊虫,属于,害虫
尿素,属于,农作物药物
效唑,属于,农作物药物
有棱丝瓜,属于,农作物
枣虫快毙,防治,枣步曲
动物,包含,肉牛
绿蟹,属于,动物
福尔马林,属于,畜牧业药物
疾病,包含,腐蹄病
黑头病,属于,动物疾病
农作物,包含,贝母
夏白菜,属于,大白菜
荷花,属于,农作物
石榴树,感染,炭疽病
抗病毒I号,属于,畜牧业药物
病毒必克,防治,花叶病
动物,包含,田螺
好立克,防治,真菌性叶枯病
甜椒,感染,茎基腐病
农作物,包含,南天竹
晶体敌百虫,防治,葱蚜
动物,包含,山瑞鳖
桂花,属于,乔木和花灌木类
豆科,科,炙甘草
意杨苗,感染,皱叶病
白毛病,属于,动物疾病
农作物,包含,白玉兰
黄叶病,属于,农作物病害
农作物,包含,榨菜
中药,包含,巢蕨
疾病,包含,口蹄疫
西药,包含,硫酸卡那霉素
抑太保乳油,属于,农作物药物
瓜实蝇,属于,农作物虫害
发财树,别名,马拉巴栗
害虫,包含,蜱虫
青年鸡,属于,动物
病原体,属于,绿脓杆菌
菌克毒克水剂,属于,农作物药物
棉叶,属于,农作物
夜蛾科,科,银纹夜蛾
番茄,感染,番茄筋腐病
疾病,包含,根结线虫病
烟叶,属于,农作物
橙,属于,农作物
甲维盐,防治,棉铃虫
腻虫,属于,农作物虫害
农作物,包含,生地
中药,包含,桐
农作物,包含,焦白术
胡萝卜,属于,动物
乙酰甲胺磷,属于,农作物药物
旋花科,属于,农作物
植株,属于,农作物
大樱桃树,属于,农作物
桑疫病,属于,农作物病害
白掌,属于,年宵花
杀毒矾,防治,立枯病
黑鱼,别名,鳢
小麦,被危害,麦蜘蛛
油葵,属于,农作物
多菌灵,防治,菱瘟
盆景,属于,农作物
猴头菇,属于,食用菌
鱼腥草,属于,害虫
瑞锰锌,属于,农作物药物
掐不齐,属于,农作物
油菜子,属于,农作物
大功臣,属于,农作物药物
多肽预混剂,属于,畜牧业药物
中草药方剂,属于,害虫
幼犬,属于,动物
茶橙瘿螨,危害,农作物
皱叶病,属于,农作物病害
农作物,包含,徐稻3号
斑点细菌病,属于,农作物病害
茄子幼苗,属于,农作物
农作物,包含,鹰嘴豆
仔猪,别名,子猪
农作物,包含,香果
森锰锌,属于,农作物药物
猪慢性链球菌病,属于,动物疾病
农作物,包含,野燕麦
香菜,属于,农作物
真菌,病原,茼蒿立枯病
赤皮病,属于,动物疾病
肾上腺素,属于,畜牧业药物
动物,包含,钉螺
吊兰,属于,农作物
土霉素,属于,畜牧业药物
泽泻,属于,畜牧业药物
农作物,包含,鹤草
满园花子,属于,农作物
十三星瓢虫,属于,农作物虫害
马拉硫磷,属于,畜牧业药物
羊,属于,动物
甲基托布津可湿性粉剂,防治,玉米大斑病
青桐,属于,乔木和花灌木类
青花椰菜,属于,蔬菜
农作物,包含,紫花苜蓿
莱农14号,属于,玉米
金针菇,属于,农作物
黑茎病,属于,农作物病害
西葫芦,属于,蔬菜
杨树溃疡病,属于,农作物病害
甲霜灵霜霉威,属于,农作物药物
山茶,科,红茶
食葵,属于,农作物
真菌,包含,毛头鬼伞
咪鲜胺乳油,防治,叶斑病
早霜,属于,农作物病害
番茄,感染,炭疽病
枝干,属于,畜牧业药物
农作物,感染,水稻纹枯病
吡虫啉可湿性粉剂,防治,蚜虫
锌硫磷毒沙,防治,玉米螟
蘑菇,被危害,菇蚊成虫
桐树,属于,阔叶树
动物,包含,水产
金叶女贞,属于,小灌木类
蔬菜,包含,韭菜
菇体,属于,农作物
桑苗,属于,农作物
棉,属于,农作物
红花白荚架豆,属于,农作物
鹧鸪,属于,动物
菊科,科,艾叶
西府海棠,属于,农作物
快灵,防治,大造桥虫
蝇蛆病,属于,动物疾病
动物,包含,海螺
农作物,包含,苦瓜
好灭丹,属于,农作物药物
农作物,包含,银心吊兰
养兔,属于,动物
公鸡,属于,动物
胡桃,别名,核桃树
甜糯玉米,属于,农作物
新高脂膜,防治,霜霉病
农用链霉素可湿性粉剂,防治,菜青虫
农作物,包含,马兜铃
甜瓜,属于,农作物
热带虾,属于,动物
稻种,属于,农作物
动物,包含,孔雀鱼
中药材,属于,松香
农作物,包含,大丽花
动物,包含,雁
农作物,包含,胡桃
害虫,包含,月鳢
害虫,包含,胃蝇
菊科,科,鹤虱
肉丝瓜,属于,农作物
农作物,包含,野艾
井冈霉素水剂,防治,纹枯病
石菖蒲,属于,畜牧业药物
动物,包含,鲟
韭蛆,属于,农作物虫害
细菌,包含,花生青枯病
榆树,属于,农作物
动物,包含,獭兔
粘虫,属于,农作物虫害
黑腹果蝇,属于,动物
土豆,属于,农作物
农作物,包含,芦笋
中大型慈鲷鱼,属于,动物
小叶女贞,属于,农作物
鼠,属于,害虫
代森锰锌,防治,斑枯病
敌杀死,属于,农作物药物
微生物,包含,辣椒疫霉
春薯,属于,农作物
代森锰锌可湿性粉剂,防治,菜蚜
花灌木类,属于,农作物
新高脂膜,防治,软腐病
香葱,被危害,葱蓟马
涂白剂,属于,农作物药物
患猪,属于,动物
樱桃,被危害,梨小食心虫
菜蛾科,科,小菜蛾
人兽共患病,属于,动物疾病
甲鱼,属于,动物
葱,属于,农作物
沉水农作物,属于,农作物
桂花树,属于,农作物
树桩,属于,农作物
疾病,包含,寄生虫病
中药,包含,水芹
早熟晚粳稻,属于,水稻
番茄,感染,晚疫病
绿肥萝卜,属于,农作物
V20,属于,农作物
虾,属于,动物
动物,包含,球虫
梨属,属于,杜梨
茯苓皮,属于,畜牧业药物
毒死蜱微囊悬浮剂,防治,金龟子
肉鹅,属于,动物
真菌,包含,雷丸
鲜大蒜,属于,畜牧业药物
氯化铵,属于,畜牧业药物
烤烟,感染,青枯病
西兰花,被危害,菜青虫
茯苓,属于,畜牧业药物
越夏小黄瓜,属于,小黄瓜
皂苷,属于,畜牧业药物
农作物,包含,香荽
豇豆,被危害,蚜虫
丝瓜,感染,白粉病
波美5-6度石硫合剂,属于,农作物药物
农作物,包含,金鱼藻
克露,属于,农作物药物
动物,包含,昆虫
雏鸭呼吸道疾病,属于,动物疾病
猪丹毒,属于,动物疾病
农用链霉素,属于,农作物虫害
患羊,属于,动物
中草药,包含,侧柏叶
向日葵,感染,白粉病
莲藕,别名,藕
彩色马蹄莲,感染,软腐病
中兽药,属于,害虫
晶体石硫合剂,属于,农作物药物
抗球虫药物,属于,畜牧业药物
晶体敌百虫,属于,畜牧业药物
金星消毒液,属于,农作物药物
马,属于,动物
丹参,被危害,银纹夜蛾
磺胺甘油,属于,畜牧业药物
向日葵,感染,黑斑病
黑头病,别名,盲肠肝炎
杜邦万克灵,防治,蛴螬
烟青虫,属于,作物虫害
脓肿,属于,动物疾病
初生犬,属于,动物
上海青,别名,油菜
豆科,科,百脉根
奶犊牛,属于,动物
金合欢幼苗,属于,农作物
农作物,包含,樱桃
瓜类炭疽病,属于,农作物病害
银边吊兰,属于,吊兰
农作物,包含,多年生草本花卉
向日葵,被危害,红蜘蛛
猪流行性,属于,动物疾病
霜霉威盐酸盐,属于,农作物药物
柴鸡,属于,动物
农作物,包含,大樱桃
井岗霉素,防治,菱瘟
普通丝瓜,属于,丝瓜
鸽子,别名,肉鸽
云形病,属于,农作物病害
奎乙醇,属于,畜牧业药物
人参,属于,畜牧业药物
害虫,包含,钻心虫
蚊,属于,害虫
农作物,包含,犊牛
中药,包含,鲫鱼
碘甘油,属于,畜牧业药物
何首乌,属于,畜牧业药物
生长育肥猪,属于,动物
梭鱼,属于,动物
猪肠炎腹泻,属于,动物疾病
传染性法氏囊炎,防治,清瘟败毒散
大姜,被危害,地老虎
百菌清,防治,紫斑病
冰片,属于,畜牧业药物
农作物,包含,南瓜子
夜蛾科,科,夜蛾
疾病,包含,球虫病
百菌清可湿性粉剂,防治,紫斑病
龙果,属于,农作物
板瓜,属于,农作物
代森锰锌,防治,青枯病
鸡病,属于,动物疾病
大白菜,感染,霜霉病
鲜芦根,属于,畜牧业药物
磺胺制剂,属于,畜牧业药物
鞣酸,属于,畜牧业药物
害虫,包含,旱獭
便秘病,属于,动物疾病
西药,包含,氯喹
野猪,属于,动物
乐果,防治,蚜虫
徐稻3号,属于,中熟中粳稻
黑松,属于,乔木和花灌木类
动物,包含,发财树
疾病,包含,原虫病
农作物,包含,杏鲍菇
新高脂膜,防治,菜青虫
农作物,包含,眉豆
白韭菜,属于,韭菜
胡萝卜,感染,软腐病
微生物,包含,弓形虫
金银花,被危害,老虎害虫
甲维盐,防治,大造桥虫
磺胺药,属于,畜牧业药物
大豆,属于,杂粮
硫酸链霉素,属于,农作物药物
黄瓜,感染,霜霉病
大白菜,别名,白菜
杜鹃,属于,花
养殖鱼类,属于,动物
南豆12,属于,大豆
磺胺二甲基嘧啶,属于,畜牧业药物
农作物,包含,蔬菜
动物,包含,热带鱼
农作物,包含,良姜
农作物,包含,菠菜
大白菜,感染,软腐病
农作物,包含,温州蜜柑
蔬菜,防治,灭蚜威
白糖,属于,畜牧业药物
蜂王,属于,动物
猪肺疫,属于,动物疾病
棉花,感染,黄萎病
根腐灵,属于,农作物药物
农作物,包含,鬼针草
支原体肺炎,防治,多西环素
公鸭,属于,动物
苏云金杆菌制剂,属于,农作物药物
农作物,包含,防风
水稻纹枯病,属于,农作物病害
防污剂,属于,农作物药物
敌百虫,属于,畜牧业药物
菇虫净杀虫剂,属于,农作物药物
菊科牧草,属于,农作物
圆葱,属于,农作物
敌敌畏乳剂,属于,农作物药物
挺水农作物,包含,漂浮农作物
绿之源,属于,农作物药物
水果,属于,农作物
生石灰,属于,畜牧业药物
动物,包含,黑曲霉
高效氯氰菊酯,防治,桃小食心虫
水产,属于,罗非鱼
抑太保,属于,农作物药物
兔瘟,属于,动物疾病
煤霉病,属于,农作物病害
蟹苗,属于,动物
细菌,包含,沙门氏菌
疥螨病,属于,动物疾病
商品猪,属于,动物
赤小豆,属于,畜牧业药物
微生物,包含,白灵菇
豆科作物,属于,农作物
苹果树,属于,树
患鸡,属于,动物
动物,包含,鲈
越夏彩椒,属于,农作物
支原体肺炎,属于,动物疾病
氧化乐果,防治,玉米蓟
老虎害虫,属于,农作物虫害
强氯精,属于,农作物药物
炭疽福美,属于,农作物药物
兰花,感染,白绢病
代森锰锌复配剂,属于,农作物药物
淮稻9号,属于,农作物
巴氏杆菌病,属于,动物疾病
豆瓣菜,感染,锈病
石灰粉,属于,农作物药物
微生物,包含,平菇
晚疫病,属于,农作物病害
白皮松,属于,乔木和花灌木类
丝瓜,被危害,螨类
氢氧化铜,属于,农作物药物
西维因,属于,农作物药物
心脏病,属于,动物疾病
番茄,感染,裂果症
敌敌畏,防治,粘虫
扑海因,防治,早疫病
鸽子,别名,乳鸽
百穴虫,属于,农作物虫害
病毒,导致,花生网斑病
六谷子,属于,农作物
灯芯草,属于,畜牧业药物
绦带虫病,属于,动物疾病
可湿性粉剂,属于,嘧霉胺
淡竹叶,属于,畜牧业药物
茄科,科,烟草
农作物,包含,野豌豆
橘皮,别名,陈皮
虫,防治,有机磷农药
中药,包含,丹皮
上海青,属于,农作物
水疱病,属于,动物疾病
犊,属于,动物
甲霉灵,属于,农作物药物
番茄,感染,灰霉病
西瓜,属于,农作物
栝楼,别名,吊瓜
微生物,包含,灭菌
花卉,包含,虾衣花
茼蒿,感染,疫病
白痢,属于,动物疾病
鹄,属于,动物
野杂鱼,属于,动物
害虫,包含,胞蚴
龙芽草,别名,马鞭草
肠道疾,属于,动物疾病
患牛,属于,动物
害虫,包含,蝗虫
沙糖桔,属于,农作物
琥胶肥酸铜,属于,农作物药物
花卉,包含,粉掌
菱实,属于,农作物
南陵青果豆,属于,农作物
抗蚜威液剂,属于,农作物药物
辣椒,感染,蔬菜白粉病
红花,属于,害虫
蔷薇科,科,杜梨
盲眼,属于,动物疾病
疾病,包含,羊痘
心腐病,属于,农作物病害
黄花鱼,属于,动物
革兰氏阳性菌,属于,放线菌
啄羽,属于,动物疾病
黄鼠狼,属于,动物
菜豆,属于,蔬菜
食用菌,属于,农作物
煤烟病,属于,农作物病害
睾丸炎,属于,动物疾病
马兜铃,科,青木香
农作物,包含,西葫芦
农作物,包含,藻类
车前草,属于,农作物
蔬菜,包含,胡萝卜
害虫,包含,蛴螬
毛茛科,包含,葫芦科
甲基硫菌灵可湿性粉剂,防治,菌核病
豆,属于,农作物
中华倒刺鲃,属于,生物
农作物,包含,油松
动物,包含,成年犬
高锰酸钾,属于,畜牧业药物
芥菜,属于,农作物
抱卵虾,属于,动物
豆苗,属于,农作物
梨树,属于,农作物
母鹅,属于,动物
喹乙醇原粉,属于,畜牧业药物
纤毛虫病,属于,动物疾病
动物,包含,乳鸽
